news_headline,news_article,news_category,compound,Review
twitter restricts account new zealand professor mocked xi restores later,new zealand professor annemarie brady specialise chinese politics say twitter restrict account mock chinese president xi jinping tweet brady tweet opinion article write caption alternative headline xi party I cry want tweet also make unavailable temporarily,world,-0.6705,negative
since became refugee I taken full advantage indias freedom dalai lama,86th birthday tibetan spiritual leader dalai lama say since become refugee settle india take full advantage indias freedom religious harmony also appreciate indias concept secular value not dependent religion honesty karuna compassion ahimsa nonviolence add commit principles,world,0.939,positive
2 army personnel held spying leaking 900 secret documents paks isi,punjab police arrest two army personnel allegedly spy leak information pakistans interservices intelligence accuse sepoys harpreet singh gurbhej singh age 23 send picture 900 classify document pertain defence national security pakistani officer punjab dgp dinkar gupta say allegedly collude crossborder drug smuggler,world,-0.4215,negative
govt issues statement stan swamys death criticism eu un officials,criticism un eu human right officials arrest activist father stan swamys death centre say swamy arrest follow due process law swamys bail applications reject specific nature charge say government add india act violations law not legitimate exercise right,world,-0.9493,negative
parts russian plane went missing found 28 people board feared dead,wreckage antonov an26 plane go miss tuesday kamchatka peninsula russias far east find near airport town palana accord officials 28 people board plane fear dead sergei gorb deputy director kamchatka aviation enterprise say plane practically crash sea cliff,world,-0.8957,negative
egypt ends 3monthlong impounding ship blocked suez canal,egyptian court tuesday lift threemonthlong impound huge container ship ever give block suez canal six days earlier year ship would allow leave canal wednesday ceremony suez canal authority reach settlement ship owners damage suffer due canal blockage,world,-0.7351,negative
pak closes main border afghanistan limit covid19 spread,pakistan tuesday close main border cross point afghanistan limit spread covid19 type immigration departure arrival close today torkham border interior minister sheikh rashid say two countries multiple cross point torkham one commonly use cross thousands travellers every day,world,0.0,negative
chinese city near myanmar imposes lockdown amid covid19 outbreak,ruili chinese city border myanmar step efforts fight third coronavirus outbreak several locally transmit case report ruili initiate mass test impose lockdown prevent people enter leave city unless prove travel necessary jiegao border community name mediumrisk area tuesday,world,-0.5994,negative
rescue boat 572 migrants board asks eu find port,mediterranee organisation ask european union find port dock disembark migrants rescue central mediterranean 572 people onboard ocean viking vessel say pick six operations maltese libyan search rescue areas add maritime authorities not help operations,world,0.6533,positive
5 terrorists killed security operation pakistans quetta,pakistans counterterrorism department ctd tuesday say five terrorists kill security operation quetta city balochistan province ctd claim weapons ammunition recover slay terrorists come pakistan prime minister imran khan say monday deliberate hold talk insurgents balochistan,world,-0.9371,negative
arabia plans invest 133bn become global transportation hub,saudi arabia aim become global transportation logistics hub 2030 invest 133 billion airports seaports rail infrastructure decade transport minister say country aim increase annual passenger traffic 103 million 2019 330 million 2030 head aviation authority say,world,0.3818,positive
1 injured stabbing outside dsseldorf airport germany,one person injure stab incident park lot dsseldorf airport germany police say tuesday stab suspect result argument among homeless people add spokesperson police say assailant flee scene seek,world,-0.9062,negative
16 security personnel killed taliban attack afghanistan,least 16 security personnel kill attack taliban security checkpoint salma dam afghanistans herat province sunday checkpoint equipment reportedly fall hand taliban notably afghanistan witness surge violence taliban intensify offensive government,world,-0.836,negative
lebanon days away social explosion pm economic crisis,speak economic crisis country caretaker lebanese pm hassan diab tuesday say lebanon days away social explosion diab call international community help country world bank call lebanons crisis one worst depressions modern history,world,-0.93,negative
israel attacked civilian nuclear site june iran,iran tuesday accuse israel sabotage attack june reportedly target civilian nuclear facility near tehran state media report cabinet spokesman ali rabiei allege attack seek thwart ongoing talk vienna revive irans nuclear deal world power irna news agency report rabiei add limit damage sabotage attempt,world,-0.9393,negative
honda nissan log decline car sales china last month,japanese automakers honda motor nissan motor saw sales china slip june amid overall decline car sales worlds biggest car market honda sell 118168 cars china june 17 year earlier nissan sell 114605 vehicles china last month 163,world,0.0,negative
